	Sample_ID	Chambers	Chambers2	Replicates	Flow.Rate.Pump	Time_sampling_Min	Collected	Real.Flow.Rate
67	Four_Chambers_1_7.349	Four_Chambers	4	1	7.349	19.5	128	6.564102564
68	Four_Chambers_2_7.349	Four_Chambers	4	2	7.349	19.5	122	6.256410256
69	Four_Chambers_3_7.349	Four_Chambers	4	3	7.349	19.5	138	7.076923077
70	Four_Chambers_1_14.69	Four_Chambers	4	1	14.69	22.33333333	300	13.43283582
71	Four_Chambers_2_14.69	Four_Chambers	4	2	14.69	22.33333333	295	13.20895522
72	Four_Chambers_3_14.69	Four_Chambers	4	3	14.69	22.33333333	382	17.10447761
73	Four_Chambers_1_29.39	Four_Chambers	4	1	29.39	13.11666667	368	28.05590851
74	Four_Chambers_2_29.39	Four_Chambers	4	2	29.39	13.11666667	368	28.05590851
75	Four_Chambers_3_29.39	Four_Chambers	4	3	29.39	13.11666667	422	32.17280813
76	Four_Chambers_1_66.14	Four_Chambers	4	1	66.14	10.41666667	596	57.216
77	Four_Chambers_2_66.14	Four_Chambers	4	2	66.14	10.41666667	600	57.6
78	Four_Chambers_3_66.14	Four_Chambers	4	3	66.14	10.41666667	610	58.56
79	Four_Chambers_1_124.9	Four_Chambers	4	1	124.9	10.21666667	1095	107.177814
80	Four_Chambers_2_124.9	Four_Chambers	4	2	124.9	10.21666667	1094	107.0799347
81	Four_Chambers_3_124.9	Four_Chambers	4	3	124.9	10.21666667	1108	108.4502447
82	Four_Chambers_1_257.2	Four_Chambers	4	1	257.2	14.8	3040	205.4054054
83	Four_Chambers_2_257.2	Four_Chambers	4	2	257.2	14.8	2830	191.2162162
84	Four_Chambers_3_257.2	Four_Chambers	4	3	257.2	14.8	2924	197.5675676
85	Four_Chambers_1_514.4	Four_Chambers	4	1	514.4	10	4000	400
86	Four_Chambers_2_514.4	Four_Chambers	4	2	514.4	10	3940	394
87	Four_Chambers_3_514.4	Four_Chambers	4	3	514.4	10	3940	394
88	Four_Chambers_1_1028	Four_Chambers	4	1	1028	10.75	8484	789.2093023
89	Four_Chambers_2_1028	Four_Chambers	4	2	1028	10.75	8124	755.7209302
90	Four_Chambers_3_1028	Four_Chambers	4	3	1028	10.75	8172	760.1860465
91	Four_Chambers_1_2050	Four_Chambers	4	1	2050	9.6	15488	1613.333333
92	Four_Chambers_2_2050	Four_Chambers	4	2	2050	9.6	14680	1529.166667
93	Four_Chambers_3_2050	Four_Chambers	4	3	2050	9.6	14980	1560.416667
94	Four_Chambers_1_4093	Four_Chambers	4	1	4093	10	32480	3248
95	Four_Chambers_2_4093	Four_Chambers	4	2	4093	10	30650	3065
96	Four_Chambers_3_4093	Four_Chambers	4	3	4093	10	31660	3166
97	Four_Chambers_1_7349	Four_Chambers	4	1	7349	10	52890	5289
98	Four_Chambers_2_7349	Four_Chambers	4	2	7349	10	50000	5000
99	Four_Chambers_3_7349	Four_Chambers	4	3	7349	10	51600	5160
100	Six_Chambers_1_7.349	Six_Chambers	6	1	7.349	14.05	100	7.117437722
101	Six_Chambers_2_7.349	Six_Chambers	6	2	7.349	14.05	108	7.68683274
102	Six_Chambers_3_7.349	Six_Chambers	6	3	7.349	14.05	108	7.68683274
103	Six_Chambers_1_14.69	Six_Chambers	6	1	14.69	11.33333333	154	13.58823529
104	Six_Chambers_2_14.69	Six_Chambers	6	2	14.69	11.33333333	152	13.41176471
105	Six_Chambers_3_14.69	Six_Chambers	6	3	14.69	11.33333333	158	13.94117647
106	Six_Chambers_1_29.39	Six_Chambers	6	1	29.39	9.533333333	224	23.4965035
107	Six_Chambers_2_29.39	Six_Chambers	6	2	29.39	9.533333333	221	23.18181818
108	Six_Chambers_3_29.39	Six_Chambers	6	3	29.39	9.533333333	240	25.17482517
109	Six_Chambers_1_66.14	Six_Chambers	6	1	66.14	10.5	568	54.0952381
110	Six_Chambers_2_66.14	Six_Chambers	6	2	66.14	10.5	576	54.85714286
111	Six_Chambers_3_66.14	Six_Chambers	6	3	66.14	10.5	460	43.80952381
112	Six_Chambers_1_124.9	Six_Chambers	6	1	124.9	11.03333333	1038	94.07854985
113	Six_Chambers_2_124.9	Six_Chambers	6	2	124.9	11.03333333	1108	100.4229607
114	Six_Chambers_3_124.9	Six_Chambers	6	3	124.9	11.03333333	780	70.69486405
115	Six_Chambers_1_257.2	Six_Chambers	6	1	257.2	10.08333333	1924	190.8099174
116	Six_Chambers_2_257.2	Six_Chambers	6	2	257.2	10.08333333	2000	198.3471074
117	Six_Chambers_3_257.2	Six_Chambers	6	3	257.2	10.08333333	1996	197.9504132
118	Six_Chambers_1_514.4	Six_Chambers	6	1	514.4	11.6	4140	356.8965517
119	Six_Chambers_2_514.4	Six_Chambers	6	2	514.4	11.6	4520	389.6551724
120	Six_Chambers_3_514.4	Six_Chambers	6	3	514.4	11.6	4528	390.3448276
121	Six_Chambers_1_1028	Six_Chambers	6	1	1028	9.8	6675	681.122449
122	Six_Chambers_2_1028	Six_Chambers	6	2	1028	9.8	7905	806.6326531
123	Six_Chambers_3_1028	Six_Chambers	6	3	1028	9.8	7254	740.2040816
124	Six_Chambers_1_2050	Six_Chambers	6	1	2050	10.41666667	15880	1524.48
125	Six_Chambers_2_2050	Six_Chambers	6	2	2050	10.41666667	16800	1612.8
126	Six_Chambers_3_2050	Six_Chambers	6	3	2050	10.41666667	16405	1574.88
127	Six_Chambers_1_4093	Six_Chambers	6	1	4093	10.06666667	32604	3238.807947
128	Six_Chambers_2_4093	Six_Chambers	6	2	4093	10.06666667	32728	3251.125828
129	Six_Chambers_3_4093	Six_Chambers	6	3	4093	10.06666667	31980	3176.821192
130	Six_Chambers_1_7349	Six_Chambers	6	1	7349	10.16666667	56720	5579.016393
131	Six_Chambers_2_7349	Six_Chambers	6	2	7349	10.16666667	58970	5800.327869
132	Six_Chambers_3_7349	Six_Chambers	6	3	7349	10.16666667	56980	5604.590164
