Feature ID	Taxon	Strain	Confidence
1f6f9fc9b38289d72f4c2d278d1c70c0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993551924
81d29f0169795ca1f469c08416b7721f	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.992824135
4935df294f9fe4e30a3b6456d1f1f364	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.994001018
760ac452472dca65657ff10db40480ef	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993397854
efdf02c3e7d3ce7986dda3c97e52622f	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993237063
2c8152feb88b79db047fb9db8402cb8c	Unassigned		0.993850127
cc579d537897a7bc3e977a3b6b34781f	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Chryseobacterium		0.999683585
1a3f08f63b7413bc01b83bebc7726eae	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium		0.976312987
cebedde64fafde1293c61b61bbf40509	d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Paenibacillus; s__Paenibacillus_humicus		0.982260561
fb22b18eff1cc1f2cf92bdc237d29e5f	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993286298
abd84095a2f5e4d0b97e7814d23a857a	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993364036
83ba6ea4d93bfc8137909e37ca167d0b	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae		0.999999998
44d797412c93205d1b8276ac914fcede	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993427103
6707fcb22301ed9d9241a2f1914869c0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas; s__uncultured_soil		0.951773405
cf93068f9d96d9db8a5c8ed10e5e9c57	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Chryseobacterium		0.999972454
3018beae17effeee347f342d78c0a5e9	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium		0.999999995
eff9e8a7ff2aca61ed2ee1eb39b45022	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Brevibacteriaceae; g__Brevibacterium		0.999998231
4578b3e6f19643cc4182300e68839979	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium; s__Corynebacterium_kroppenstedtii		0.976149893
0ba5e58ca16361f65d6daae1844e09eb	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium		0.99999999
9462a3711038fc5d2e75962ca1be3cea	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas		0.999959126
705b0faaa5553f73232da854264fa748	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993123792
254553935d62987f61e0a85037884f10	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Turicella; s__uncultured_bacterium		0.94216546
dd452f899aeda18c606a5db15a7137be	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993309186
6292f369e6e7a846e1e9f32bb0d2f612	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium		0.999991586
bd3d7b3d2390208cb8f6f35fb00f562e	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993152493
c5ac19cbbb133848294e963397ffd4e5	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__1174-901-12; s__uncultured_bacterium		0.85108097
5fc68c9d34623e3274562ae1bfa8e775	d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus		0.99992149
f251b6ea001d8831f29f1f835033fc7b	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella		0.89112288
ef2bbbc91e8bf78ffdfdad3b92d86258	d__Bacteria; p__Proteobacteria		0.997783176
e2f222bafba4898b38bf7b4c53274f74	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Lawsonella; s__uncultured_bacterium		0.990333642
bb8ef00469417d20cccce005bc086009	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993391866
0937a2b0f9d835d209bdf6112b646b87	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Chryseobacterium		0.99987419
7485984d9d050e7f7a9d3a1dda7f289d	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium		0.999653565
452a16c101eddbe11a1dc14922f70daa	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993145788
80648f2d9f96cc4adcfa6350d13dcffb	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas; s__uncultured_soil		0.936346048
518d2d41becfd0ce0f60d7d67f4f6e46	d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus		0.999888863
9dd11681c745ec66f3e3845c3c6a1b67	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas		0.990622089
53c338d2f073a5804b1cab6d2326fb72	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas		0.994085723
4b6c242c326f6be9f76208cad25e3458	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.994449023
7e5a715b9108f6c42c0c528c4ef66625	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993159127
3db34a280fe8e41acf94f22968a36ab3	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas		0.996018934
1de4b8948b302dc7e5ea37f8c1c97796	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993164667
38a9887f995b69faa4bcf6982b1a647e	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas		0.997949436
c38387068298553cefdd529ac8a0a8ed	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae		0.999999908
8a1bdd54bf9955eb4ceb682520a2ffc5	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Dyadobacter; s__Spumella-like_flagellate		0.737811079
4e3ec0dfbc0734a0a09b1099de6d5de1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae		0.999999734
9813cde82e65107fc53776da8ad0252d	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Pseudarthrobacter		0.785506143
89975d3c4ad6065c6c6793ac573934fb	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Leifsonia; s__Leifsonia_sp.		0.944335022
666461af3569ca1747d5afeb665f11eb	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium		0.999990247
5dfcb917a23c510a52bd9b837f9160ca	d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium		1
84f26ce0be812bc696e4e82f9cf22566	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993281973
09d026476fbdcb79e92fdf9c03412653	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993560842
1329fe8e21104e677e9e4215eab2301d	d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus_arlettae		0.853732739
ece0eb0811bd064e537f49c346b29ddf	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia-Caballeronia-Paraburkholderia		0.999993093
76cd43aaa4797f727b6b9bc103933001	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Macellibacteroides; s__uncultured_bacterium		0.701758915
7f1d5245a0b1fa44580255fbfa487d67	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium		0.894299961
6e06a09aeb65d6c3aa75cbf3611ef582	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus		0.997124553
29f0deda787e8d2fc2d63dbcd076a104	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae		0.995730092
212404ad84dca37a64946fa9e372e383	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.992946309
cae24a13e6215b5b45b5585f1fd4e927	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae		0.96346036
6cbd7af9678ae59d72c5ccf2c6559d07	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Neisseriaceae; g__Neisseria		0.999917829
a1889f6c1bd95984f1f6b3690a8e68e8	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Chryseobacterium		0.997673553
60f9cd0583ba6c280e3a98bfd57a6547	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Rothia; s__Rothia_aeria		0.876203076
c032d0df6d08c72cd8b6ea9d79c02a36	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Comamonas; s__Comamonas_denitrificans		0.824019758
1cf6be8cc8d045254ffabc10ac9ab7fa	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993222783
b4bf31a4886d3b15120a31afa24de3eb	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993164494
e07563a25d66530d3da9e54747206ffc	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas		0.99883275
56b7f92aa98cd7bf5646d61df993cbb0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Paenibacillus; s__Paenibacillus_humicus		0.994198259
d1d1d7dd327e4b572bbc11e56c6e9e7a	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium		0.99998934
297801bfbf2d06bcd246910798180420	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas		0.998973255
39b581bfd219e622360b4d18a9a03604	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Rhodanobacteraceae		0.994298145
b16dc0dd3f0e90b004fba21572fa8232	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas		0.999507203
b80399e24373d4397f94cd77c2b4ebb1	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Chryseobacterium		0.999805786
7262b8a850e14beb67795b20c37f5066	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Pseudarthrobacter		0.739469495
615b4bf07cf88c2562e7312a7ed5e373	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas		0.868044392
6ced691ea0f4a2cd985c2534bdaa0cf6	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Chryseobacterium		0.999695657
c5e2a7b846987e53d1a875ef990ba924	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Rhodanobacteraceae		0.999758317
966b1b3159753b55c34e4225e912923b	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae		0.999999892
7e57e87111e5d9d9dd6b53f02d3576f6	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium		0.999988525
1cc0bb063632e5f828e2661530c04a84	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.994044644
ee70c747350132d077b7faaf5dbeedaf	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.993172421
ad6b27b783e1d37e775ba60936f68bc4	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium; s__Corynebacterium_variabile		0.95171058
095a9ce3b471e08dfbf181baa5254fae	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas; s__uncultured_soil		0.961509331
07727953a1265d02a156385bfcb85b77	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Rheinheimera		0.991772143
c6c2536ada2c40acfadea8f45ad5c395	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium		0.999992409
a07ec337d6dc9791aa875809fc022b60	d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Paenibacillus; s__Paenibacillus_humicus		0.975980991
65ec90a691b3b7eb55cfc8e70f11c7ae	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales		0.799056342
83999ad35c3f3010f68ebd354c04934f	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium		0.97153378
1eea72f22bc96ba5378fb8d9582c2eff	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae		0.999999355
19b925e4f261343409d89036dfe94b19	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas; s__uncultured_soil		0.865134921
a595622cb55e3e36346fbd66311e85c5	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium		0.999999995
d93d2a2e7b0c2ed96ca6074a717a8a4d	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Arthrobacter		0.881745053
0bef560615fd7708866dcfa8525c9306	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas		0.995088389
6a5edb79dc6f6bddbcef44d4dda3a4aa	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Bacillus_nealsonii		0.803196168
5ead813779772fa54cb4e0db4bc6cceb	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus		0.997790794
7c584cc0337041520ffe54bf7ab47850	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Chryseobacterium		0.999937449
e93a65de002a022146194f5f67e711d6	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales		0.826550984
3ee7733c1691f96d9dcc84c09c2ae8d6	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus		0.996526306
70b5cf8fe0890ad76d718c30947d8a3c	d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcales-Tissierellales; g__Anaerococcus; s__uncultured_organism		0.831307199
aae79882f9ba3f57ebf108177a417f67	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Devosiaceae; g__Devosia		0.999984318
34b923432da9711a29a333279abd0155	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium		0.999990327
f71bddf7fd8341ac0cd0b4563544ed1f	d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__uncultured_bacterium		0.88821151
ff0f8e4b5646503a6fb2e180b3d87f3d	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides		0.998931165
be44971df21562c96ae3a87aa6521350	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas; s__uncultured_soil		0.785581168
1b6c383642403667e483f0be9d90f3cd	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium		0.999987749
4695a3ff6f02feb0535536dc278d5623	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae		0.9999893
abf98784f467daa33ebf39d237f9b082	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium		0.999979221
bee0a20e06ad9ade328fc0de4ffb1905	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium		0.999985107
78096d9feef290d3da34b88c0b13fb84	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Erwiniaceae; g__Erwinia		0.990539504
a3715d79cfd83ef7ed1110173b264a5e	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae		0.932156202
68c3d6819c456060b78cffdf8d6b806c	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas		0.999963002
76790668a862dadebe35cc3944835f45	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae		0.999966831
2aeda9695abbb28a385c4cb0a6eb4aae	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces		0.999957619
c0d55f343df74653486cef4ded8c53b1	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium		0.999988173
